电器,型号,尺寸,价格
空调, 美的KFR-72LW/WYCA1@ 3匹 ,,8799
空调, KFR-35GW/BP3DN8Y-PC200(B1)冷暖家用大1.5匹变频空调 ,,3999
空调, KFR-26GW/BP3DN8Y-PC200(B1)大1匹变频空调冷暖壁挂机 ,,3699
冰箱,美的(Midea)BCD-416WGPZV,731x713x1842mm,5800(山西路国庆优惠价)
洗衣机,小天鹅 TB80-6288WIDCLG ,550x610x940mm,3598
热水器,林内 JSQ26-55C 13升, ,3599
抽油烟机, 方太EM71T+HC78BE/HC26GE+X1/9欧式抽油烟机燃气灶洗碗机三件套装 ,, 12898
电视,sharp LCD-45SF460A 45英寸 ,1018x610x60mm, 1999
电视,Sharp LCD-60TX7008A 60英寸4K高清智能液晶平板电视机5565 ,1355x791x86mm, 4399
10月10日更新,10月10日更新,10月10日更新 ,10月10日更新
洗衣机(小),Haier/海尔 EBM33X69W 3.3kg/公斤迷你全自动波轮洗衣机 ,447x438x790mm, 1399.00
洗衣机(大),SIEMENS/西门子 XQG80-WM10N2C80W 8KG变频滚筒全自动节能洗衣机 ,850x600x560mm, 3699.00
油烟机燃气灶,方太EM71T+HT8BE/HC78BE/JA22CB油烟机燃气灶套餐油烟机灶具套装 ,, 5699.00-8000.00 
洗碗机,西门子洗碗机 家用 全自动 嵌入式 SC73M610TI原装进口智能8套 ,595x595x500mm, 4998.00
微波炉,Midea/美的 M3-L239C微波炉家用光波炉烤箱一体 智能下拉门正品 ,, 599.00
空调,Midea/美的空调 3匹变频一级智能圆柱柜机 KFR-72LW/WYCA1 ,405x405x1810mm, 9099.00
电视,夏普彩电LCD-60MY7008A超高清4K/日本原装面板智能电视机银色边框 ,1355x856x352mm, 4299.00




